가평,31,1
강릉,32,1
경주,35,2
고양,31,2
곡성,38,3
공주,34,1
광명,31,4
광양,38,4
광주,5,0
군산,37,2
김제,37,3
나주,38,6
남양주,31,9
남원,37,4
논산,34,3
대구,4,0
대전,3,0
동두천,31,10
동해,32,3
목포,38,8
보령,34,5
보성,38,10
부산,6,0
삼척,32,5
서울,1,0
성남,31,12
수원,31,13
순천,38,11
아산,34,9
안동,35,11
양평,31,19
여수,38,13
영덕,35,12
영주,35,14
의정부,31,25
익산,37,9
인천,2,0
임실,37,10
전주,37,12
정읍,37,13
제천,33,7
천안,34,12
청주,33,10
춘천,32,13
충주,33,11
평창,32,15
포항,35,23
화순,38,24
횡성,32,18
